codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
6274,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_acrilica_branca,2026-09-14T20:07:31Z,100.0,100.0
944,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_acrilica_branca,2026-09-15T14:17:05Z,100.0,100.0
04205,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-12T13:04:02Z,89.9,89.9
674,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-15T20:24:04Z,89.9,89.9
04205,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-15T18:23:13Z,89.9,89.9
04205,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-15T17:21:53Z,89.9,89.9
5097,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-10T19:45:45Z,99.99,94.0
4043,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-12T12:54:05Z,95.0,95.0
5279,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-14T18:00:20Z,95.0,95.0
340,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-12T21:45:11Z,99.0,99.0
315,ACR INTERIOR FOSCO BRANCO 15L TINTAX,UN,tinta_branca,2026-09-09T11:19:48Z,100.0,100.0
6274,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-14T20:07:31Z,100.0,100.0
944,ACR INTERIOR FOSCO BRANCO 15L TINTAX,BD,tinta_branca,2026-09-15T14:17:05Z,100.0,100.0
0008040,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica,2026-09-09T20:02:23Z,28.0,28.0
675,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica,2026-09-09T16:57:03Z,30.0,30.0
4002,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica,2026-09-09T17:20:30Z,32.0,32.0
2163,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",UN,tinta_acrilica,2026-09-09T14:47:46Z,35.0,35.0
0008040,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica_branca,2026-09-09T20:02:23Z,28.0,28.0
675,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica_branca,2026-09-09T16:57:03Z,30.0,30.0
4002,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_acrilica_branca,2026-09-09T17:20:30Z,32.0,32.0
2163,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",UN,tinta_acrilica_branca,2026-09-09T14:47:46Z,35.0,35.0
0008040,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_branca,2026-09-09T20:02:23Z,28.0,28.0
675,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_branca,2026-09-09T16:57:03Z,30.0,30.0
4002,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",GL,tinta_branca,2026-09-09T17:20:30Z,32.0,32.0
2163,"ACR INTERIOR FOSCO BRANCO 3,0L TINTAX",UN,tinta_branca,2026-09-09T14:47:46Z,35.0,35.0
454,ACR INTERIOR FOSCO CINZA SAO PAULO 15L TINTAX,BD,tinta_acrilica,2026-09-12T11:43:02Z,90.0,90.0
03551,ACR INTERIOR FOSCO GELO 15L TINTAX,BD,tinta_acrilica,2026-09-11T12:02:30Z,89.9,89.9
6656,ACR INTERIOR FOSCO GELO 15L TINTAX,BD,tinta_acrilica,2026-09-14T20:54:45Z,100.0,100.0
100725,"ACR INTERIOR FOSCO GELO 3,0L TINTAX",UN,tinta_acrilica,2026-09-12T16:39:56Z,31.9,31.9
