codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
7891153072357,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T15:59:14Z,5.55,5.55
7891153014210,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-14T15:06:21Z,5.55,5.55
7891153072494,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-09T17:04:27Z,5.55,5.55
7891153072432,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-12T14:36:10Z,5.55,5.55
7891153041223,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-12T14:23:26Z,5.55,5.55
7891153041261,TINTA P TECIDO 37ML,,0,32091010,83000000,UN,2026-09-11T18:54:54Z,5.55,5.55
9358,TINTA DIMENSIONAL METALICA  VERDE FOLHA,,0,32082019,83000000,UN,2026-09-15T20:23:20Z,6.5,6.5
9,TINTA BISNAGA GLOBO 50ML PTO,CORANTE LIQUIDO DZ GLOBOCOR PRETO - GLOBOCOR,7891323075423,32041700,83000000,UN,2026-09-11T17:50:49Z,7.1,6.666666666666667
000839,TINTA BISNAGA GLOBO 50ML,CORANTE LIQUIDO DZ GLOBOCOR AMARELO - GLOBOCOR,7891323075362,32041700,83000000,UND,2026-09-09T11:53:37Z,7.0,7.0
7891153048499,DILUENTE P TINTA P,,0,38140090,83000000,UN,2026-09-14T17:35:56Z,7.3,7.3
7891153035093,TINTA ACRILICA FOSCA,,0,32091010,83000000,UN,2026-09-14T11:43:41Z,7.45,7.45
7891153035178,TINTA ACRILICA FOSCA,,0,32091010,83000000,UN,2026-09-10T17:49:32Z,7.45,7.45
7891153035154,TINTA ACRILICA FOSCA,,0,32091010,83000000,UN,2026-09-15T20:09:59Z,7.45,7.45
7891153035062,TINTA ACRILICA FOSCA,,0,32091010,83000000,UN,2026-09-14T14:21:36Z,7.45,7.45
7891153033129,TINTA ACRILICA BRILH,,0,32091010,83000000,UN,2026-09-14T14:36:24Z,7.5,7.5
7891153033082,TINTA ACRILICA BRILH,,0,32091010,83000000,UN,2026-09-09T16:14:15Z,7.5,7.5
7368,"TINTA STARLUX 112,5ML PRETO",,0,32081010,83000000,UN,2026-09-11T16:35:04Z,7.9,7.9
328478,"HIDROTINTAS ESM SECAMAX 0,1125L PRETO UND","ESMALTE SINT. SEC. RAP. SECAMIX 112,5 PRETO HIDROTINTAS",7899010407571,32081010,83000000,UN,2026-09-15T15:22:24Z,7.99,7.99
7898518198509,TINTA P ARTE PVA CIN,,0,32091010,83000000,UN,2026-09-14T14:46:12Z,8.1,8.1
7898415881528,TINTA ACRILICA 20ML,,0,32091010,83000000,UN,2026-09-15T15:51:48Z,8.25,8.25
7891153121369,TINTA SHAKE PAINT CO,,0,32089010,83000000,UN,2026-09-09T16:31:52Z,8.3,8.3
7891153121116,TINTA SHAKE PAINT CO,,0,32089010,83000000,UN,2026-09-14T14:37:13Z,8.3,8.3
7891153121093,TINTA SHAKE PAINT CO,,0,32089010,83000000,UN,2026-09-11T18:13:41Z,8.3,8.3
7891153121147,TINTA SHAKE PAINT CO,,0,32089010,83000000,UN,2026-09-10T15:20:21Z,8.3,8.3
7896380191666,RASPADOR P/PINTURA 275/6 6CM ATLAS,RASPADOR P/TINTAS 275/6 (6)CM UN ATLAS,7896380191666,83014000,83000000,UN,2026-09-14T12:12:12Z,8.99,8.99
002341,"TINTA EXTRALUX 0,1125L VERDE FOLHA",,7908147602756,32081010,83000000,UN,2026-09-11T18:27:38Z,9.99,8.99
16974,SPRAY PRATA ORBI-QUIMICA,TINTA SPRAY USO GERAL PRATA 340ML/220G ORBISPRAY,7898314113089,32082019,83000000,UN,2026-09-10T19:24:24Z,10.03,9.59
2347,TINTA ESM EXT BR NEVE 100G LUX,,0,32081010,83000000,UN,2026-09-15T20:48:24Z,10.0,9.66
10103,TINTA REFIL BULK INK CANON G CORANTE BLACK 135ML MASTERPRINT,,0,32082019,83000000,UND,2026-09-15T14:10:05Z,9.9,9.9
4732,"TINTA ESM PRETO112,5ML SECAMAX HIDROTINTAS OK","ESMALTE SINT. SEC. RAP. SECAMIX 112,5 PRETO HIDROTINTAS",7899010407571,32081010,83000000,UN,2026-09-14T19:29:38Z,9.99,9.99
2768,ESM SINT SR SECAMAX 112 5 PT HIDROTINTAS,,0,32081010,83000000,UN,2026-09-09T10:31:26Z,10.0,10.0
155,ESM EXTRALUX 1/32 AMARELO - TINTAS LUX,,0,32081010,83000000,UN,2026-09-15T14:10:21Z,10.0,10.0
411,TINTA ESM 125ML VERM,,0,32081010,83000000,UN,2026-09-14T18:43:17Z,10.0,10.0
8556,"Esmalte 112,5ml vinho Hidrotintas /",TINTA ESM SECAMAX 1/32 VINHO HIDRO,7899010407137,32081010,83000000,UN,2026-09-09T14:49:57Z,10.0,10.0
5058,ESM EXTRALUX 1/32 PRETO - TINTAS LUX,,0,32081010,83000000,UN,2026-09-10T19:00:54Z,10.0,10.0
5326,ESM EXTRALUX 1/32 BR NEVE - TINTAS LUX,,0,32081010,83000000,UN,2026-09-10T19:00:54Z,10.0,10.0
6431,"TINTA ESM BR 0,112L DELANIL VM IQUINE",,0,32081010,83000000,LT,2026-09-14T11:16:03Z,10.0,10.0
914,TINTA ESM EXT PR 100G LUX,,0,32081010,83000000,UN,2026-09-09T16:07:23Z,10.0,10.0
471,TINTA ESM. STAR 1\32 BRANCO 0639 - STARLUX,,0,32081010,83000000,UN,2026-09-11T13:29:07Z,10.5,10.5
2403,"TINTA ESM ST EXTRALUX 0,1125L BR NEVE",,0,32081010,83000000,UN,2026-09-15T18:47:32Z,10.5,10.5
6583,"TINTA ESM ST EXTRALUX 0,1125L PLATINA",,7898355012631,32081010,83000000,UN,2026-09-15T18:47:32Z,10.5,10.5
7891153050058,TINTA P TECIDO GLITT,,0,32091010,83000000,UN,2026-09-11T15:27:40Z,10.55,10.55
16014,SPRAY PRETO FOSCO ORBI-QUIMICA,TINTA SPRAY PR FO USO GERAL 340ML/190G WHITE COLOR,7898314112693,32082011,83000000,UN,2026-09-15T12:51:55Z,11.19,10.666666666666666
000106656,"TINTA ESMALTE EXTRALUX 0,112L CINZA MEDIO",,7908147602657,32081010,83000000,UN,2026-09-09T13:43:58Z,11.5,10.925
002298,ESM SINT SR SECAMAX 112 5ML AZ D R HIDRO,"ESMALTE SINT.HIDROTINTAS AZUL DEL REY 112,5ML",7899010406697,32081010,83000000,UN,2026-09-15T19:21:09Z,11.0,11.0
0000000000102,"TINTA ESM PRETO 0,112L DIALINE IQUINE",,7892948007905,32081010,83000000,UN,2026-09-15T12:30:06Z,11.5,11.0
7896011705347,TINTA A OLEO GR.1 20,,0,32091010,83000000,UN,2026-09-11T17:25:08Z,11.4,11.4
7896011705392,TINTA A OLEO GR.1 20,,0,32091010,83000000,UN,2026-09-10T15:43:12Z,11.4,11.4
7896011705286,TINTA A OLEO GR.1 20,,0,32091010,83000000,UN,2026-09-10T17:34:42Z,11.4,11.4
447,ESM EXTRALUX 1/32 PRETO - TINTAS LUX,,0,32081010,83000000,UN,2026-09-14T10:36:31Z,11.5,11.5
7891153023670,TINTA FOSCA P ARTES,,0,32091010,83000000,UN,2026-09-12T13:11:50Z,12.85,11.5475
7891153024318,TINTA FOSCA P ARTESA,,0,32081010,83000000,UN,2026-09-11T15:37:44Z,12.85,11.646666666666667
52355,ORBI TINTA SPRAY U.G BRANCO,,0,32082011,83000000,UN,2026-09-15T18:43:57Z,11.99,11.98
452,ESM EXTRALUX 1/32 PRETO - TINTAS LUX,,0,32081010,83000000,UN,2026-09-10T20:53:48Z,12.0,12.0
7891153023939,TINTA FOSCA P ARTESA,,0,32081010,83000000,UN,2026-09-11T15:50:08Z,12.85,12.0025
CFOP5102,SPRAY 350ML BEGE TEKBOND,TINTA SUPER COLOR BEGE USO GERAL SPRAY TEK BOND,7898543381099,32082019,83000000,UN,2026-09-14T17:52:48Z,18.0,12.46
7891153074405,TINTA FOSCA P ARTESA,,0,32089010,83000000,UN,2026-09-14T18:39:12Z,12.85,12.85
7891153023472,TINTA ARTESANATO 100ML ACRILEX,,0,32091010,83000000,UN,2026-09-11T17:37:35Z,12.85,12.85
7891153023618,TINTA P ARTESANATO,,0,32091010,83000000,UN,2026-09-12T13:08:54Z,12.85,12.85
7891153023533,TINTA FOSCA P ARTESA,,0,32081010,83000000,UN,2026-09-14T18:07:41Z,12.85,12.85
7891153023953,TINTA FOSCA P ARTESA,,0,32081010,83000000,UN,2026-09-15T15:20:41Z,12.85,12.85
2723,TINTA AEROSSOL VERMELHO USO GERAL 350 ML/250G,,0,32082019,83000000,UN,2026-09-09T12:45:36Z,13.0,13.0
7898518193924,TINTA PVA CINTILANTE,,0,32091010,83000000,UN,2026-09-14T14:46:12Z,14.1,13.11
227910,TINTA SPRAY BCO FOSCO USO GERAL 250ML CHEMICOLOR,,17899674039832,32082011,83000000,UN,2026-09-12T13:18:38Z,13.15,13.15
CFOP5405,MAZA ESMALTE SINTETICO AZUL FRANCA 225ML,TINTA ESM SINT 225ML AZ FRANCA 1X225ML MAZA,7898289935761,32081010,83000000,UN,2026-09-14T17:15:20Z,20.0,13.48
497,TINTA SPRAY USO G 350ML PT FOSCO TEK BON,,0,32082019,83000000,UN,2026-09-10T19:00:54Z,13.5,13.5
12773,TINTA E.SINT. 225G DIALINE ALUMINIO,"DIALINE-ESM SINT ALUMINIO 225 ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012596,32081010,83000000,UN,2026-09-12T13:52:30Z,13.5,13.5
7891153122519,TINTA 3D GLITTER 35M,,0,32091010,83000000,UN,2026-09-11T16:24:17Z,13.6,13.6
7891153122564,TINTA 3D GLITTER 35M,,0,32091010,83000000,UN,2026-09-09T16:14:15Z,13.6,13.6
0000000001241,TINTA EM PO VD PRIMEVERA,,7890000012416,25223000,83000000,UN,2026-09-14T18:56:37Z,13.8,13.676
